gene_id;C1A;C1B;C1C;T2A;T2B;T2C;T3A;T3B;T3C;H4A;H4B;H4C;H5A;H5B;H5C;P6A;P6B;P6C;P7A;P7B;P7C;gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;gene_description;tf_family
D9Q99_RS16050;5172.800806;1244.618452;5558.859601;8973.247667;1780.753095;253.868462;570.1517328;206.2724809;866.9896878;869.829607;3413.00556;1264.364816;822.6680241;173.5469286;415.0198049;8894.772688;11760.36839;17186.99594;16442.08261;1740.065577;930.6416739;ahpC;NZ_CP033020.1;3313078;3313641;-;564;protein_coding;alkyl hydroperoxide reductase subunit C&&sp|P0AE10|AHPC_ECO57 Alkyl hydroperoxide reductase C OS=Escherichia coli O157:H7 OX=83334 GN=ahpC PE=3 SV=2 && PF10417:C-terminal domain of 1-Cys peroxiredoxin|PF00578:AhpC/TSA family;-
D9Q99_RS01330;1170.281229;308.3679985;988.8513902;1008.139544;279.6246375;177.1521145;440.4330006;193.3590237;495.0976139;176.3837208;498.5986744;214.874796;257.9018889;158.9904882;236.3930543;4380.447743;7390.9309;46623.9171;18982.20409;1511.359083;701.5627735;rpoH;NZ_CP033020.1;292633;293487;+;855;protein_coding;RNA polymerase sigma factor RpoH&&sp|P0AGB5|RPOH_ECO57 RNA polymerase sigma factor RpoH OS=Escherichia coli O157:H7 OX=83334 GN=rpoH PE=3 SV=1 && PF04545:Sigma-70, region 4|PF04542:Sigma-70 region 2;Sigma70_r4
D9Q99_RS11795;779.9850253;723.320879;909.4958787;1633.493108;411.1663683;330.202842;535.9426289;408.2023833;574.1199754;417.7379157;2695.383578;601.7736339;529.9804271;379.0832033;1182.339015;2066.113625;4546.232527;49214.81409;15635.8725;993.4547476;738.0941325;hokB;NZ_CP033020.1;2459223;2459372;+;150;protein_coding;type I toxin-antitoxin system toxin HokB&&sp|P76096|MOKB_ECOLI Regulatory protein MokB OS=Escherichia coli (strain K12) OX=83333 GN=mokB PE=4 SV=1 && PF01848:Hok/gef family;-
D9Q99_RS03445;885.0707184;434.4296049;853.7076732;578.5842646;327.0498625;316.4520677;351.8277428;306.4403189;387.2545631;311.4250707;343.2600024;340.749329;379.8490606;323.1846463;388.4023964;816.7857033;2133.305675;53684.67375;19616.33971;1545.592213;910.8131988;ygiD;NZ_CP033020.1;712115;712903;+;789;protein_coding;4%2C5-DOPA dioxygenase extradiol&&sp|P24197|YGID_ECOLI 4,5-DOPA dioxygenase extradiol OS=Escherichia coli (strain K12) OX=83333 GN=ygiD PE=1 SV=4 && PF02900:Catalytic LigB subunit of aromatic ring-opening dioxygenase;-
D9Q99_RS00830;424.5128664;159.549345;395.228006;17892.00827;2368.017412;471.4235643;146.1455331;146.6816076;592.987768;698.1029261;2126.948693;831.7804579;606.6690746;69.52083393;346.5554023;5858.225037;3269.768491;28858.25061;6401.267497;1713.043974;1020.59896;cspA;NZ_CP033020.1;174346;174558;-;213;protein_coding;RNA chaperone/antiterminator CspA&&sp|P0A9Y1|CSPA_ECO57 Cold shock protein CspA OS=Escherichia coli O157:H7 OX=83334 GN=cspA PE=3 SV=2 && PF00313:'Cold-shock' DNA-binding domain;CSD
D9Q99_RS13855;594.6237877;332.8674086;539.5348699;2738.082282;420.2172004;300.3487117;387.2829856;326.3446727;465.8835204;380.3655603;1396.852873;398.5108416;442.9494208;301.7466536;566.2485426;1705.190401;4587.441191;42166.29407;10437.36166;791.3215493;469.5045138;hspQ;NZ_CP033020.1;2876989;2877306;+;318;protein_coding;heat shock protein HspQ&&sp|B7UN45|HSPQ_ECO27 Heat shock protein HspQ OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=hspQ PE=3 SV=1 && PF08755:Hemimethylated DNA-binding protein YccV like;-
D9Q99_RS20010;1062.606395;272.7339621;952.3055819;1216.243624;291.6730466;168.4568137;319.4229862;168.4887886;383.0068672;156.6742056;409.4729059;195.082045;226.7904214;129.6769451;185.3841662;2290.261291;7872.364537;33448.11727;14446.39142;1309.027991;640.5926466;qorB;NZ_CP033020.1;4150764;4151624;+;861;protein_coding;NAD(P)H:quinone oxidoreductase&&sp|P39315|QOR2_ECOLI Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) OX=83333 GN=qorB PE=1 SV=1 && PF05368:NmrA-like family;NmrA
D9Q99_RS15750;221.9800725;135.564632;193.72191;738.9611681;148.8705816;175.8076565;179.3191503;215.6145922;214.7115355;148.3204285;874.0230481;210.0307977;221.6648174;201.3879517;451.6322005;2038.305904;2382.924466;43448.9339;10052.55229;775.8907791;420.2287762;D9Q99_RS15750;NZ_CP033020.1;3254781;3254855;+;75;protein_coding;tRNA-Gln&&-- && -;-
D9Q99_RS17280;193.3560442;189.9489256;192.1593819;43245.22713;291.7779614;277.2164198;237.3415564;237.4584501;266.7408754;268.8792087;2601.903793;270.3094863;254.1246742;254.3191504;242.5401589;207.7876059;1673.217671;5969.586293;2016.679124;223.823026;224.4190007;lacI;NZ_CP033020.1;3584879;3585961;+;1083;protein_coding;DNA-binding transcriptional repressor LacI&&sp|P03023|LACI_ECOLI Lactose operon repressor OS=Escherichia coli (strain K12) OX=83333 GN=lacI PE=1 SV=3 && PF13377:Periplasmic binding protein-like domain|PF00356:Bacterial regulatory proteins, lacI family;LacI
D9Q99_RS03490;1428.469405;395.7284594;1402.381123;2866.021072;466.4161458;236.1274996;389.052517;200.3630746;471.6541184;299.5017694;1036.396378;379.269097;372.7999202;215.7728054;401.7213643;2901.934249;5030.508523;27753.55755;11390.80732;934.9134388;532.982468;ygiN;NZ_CP033020.1;721063;721377;-;315;protein_coding;putative quinol monooxygenase&&sp|P0ADU3|YGIN_ECO57 Probable quinol monooxygenase YgiN OS=Escherichia coli O157:H7 OX=83334 GN=ygiN PE=3 SV=1 && PF03992:Antibiotic biosynthesis monooxygenase;ABM
D9Q99_RS02140;502.6013168;154.7541461;464.7645747;1234.095068;265.0829445;158.9319709;306.0979445;134.1888177;375.8050287;134.7929892;466.2783214;158.8391945;253.183591;107.579034;285.411012;6224.651255;4314.289579;29059.08296;12062.27016;1366.075891;668.2632166;rpmJ;NZ_CP033020.1;452149;452265;+;117;protein_coding;50S ribosomal protein L36&&sp|A7MPF5|RL361_CROS8 50S ribosomal protein L36 1 OS=Cronobacter sakazakii (strain ATCC BAA-894) OX=290339 GN=rpmJ1 PE=3 SV=1 && PF00444:Ribosomal protein L36;-
D9Q99_RS13715;37.98261033;53.05856438;42.95887359;308.6721671;75.95437839;69.76494305;88.74810807;62.30195105;57.04895871;34.27134675;65.03147679;64.61621653;46.38008445;51.71025838;65.09373959;248.2832177;470.743827;44353.67115;8887.967845;901.835727;424.3763333;ymcF;NZ_CP033020.1;2853393;2853581;-;189;protein_coding;cold-shock protein&&sp|P0DPC8|YMCF_ECOLI Protein YmcF OS=Escherichia coli (strain K12) OX=83333 GN=ymcF PE=1 SV=1 && -;-
D9Q99_RS02805;189.5089814;147.0164388;183.8752839;657.471716;224.2060725;160.0121578;290.2302994;177.5190259;318.6591837;165.2474937;437.9927007;181.9555199;268.8445585;141.889815;252.5129872;1481.423199;2624.225281;34021.3039;11209.62362;994.8277847;498.3482282;deaD;NZ_CP033020.1;580452;582341;+;1890;protein_coding;ATP-dependent RNA helicase DeaD&&sp|Q8XA87|DEAD_ECO57 ATP-dependent RNA helicase DeaD OS=Escherichia coli O157:H7 OX=83334 GN=deaD PE=3 SV=3 && PF12343:Cold shock protein DEAD box A|PF03880:DbpA RNA binding domain|PF00271:Helicase conserved C-terminal domain|PF00270:DEAD/DEAH box helicase;DEAD
D9Q99_RS05315;1064.243023;738.3270391;914.9638358;1489.841065;550.7373028;458.9684994;543.5144596;474.3791138;555.5999762;482.2382246;546.0325441;463.4151798;529.7854141;484.0444128;572.0995236;3047.636452;3259.103;27864.90352;7730.375528;1050.614966;810.3046604;csrA;NZ_CP033020.1;1104093;1104278;+;186;protein_coding;carbon storage regulator CsrA&&sp|A8ANQ0|CSRA_CITK8 Translational regulator CsrA OS=Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=290338 GN=csrA PE=3 SV=1 && PF02599:Global regulator protein family;-
D9Q99_RS01435;542.7047604;284.9610829;615.8185715;423.2933188;274.7525958;235.3525905;229.4899528;227.6062139;232.9797209;233.0657104;299.5903356;249.4675181;245.1602458;227.863523;247.0093159;495.0253672;1655.47121;24267.84695;17297.28943;1316.840493;830.7738985;yhhW;NZ_CP033020.1;312467;313162;+;696;protein_coding;quercetin 2%2C3-dioxygenase&&sp|P46852|YHHW_ECOLI Quercetin 2,3-dioxygenase OS=Escherichia coli (strain K12) OX=83333 GN=yhhW PE=1 SV=1 && PF17954:Quercetinase C-terminal cupin domain|PF02678:Pirin;-
D9Q99_RS13120;2857.040297;862.6643913;2583.842164;13702.89069;2004.449784;526.1387454;259.4668917;261.0596637;681.6928428;695.3202308;2580.046234;938.4705099;620.3568754;212.9358473;404.393137;3227.797311;5001.792798;3832.165312;6054.175564;1041.643124;753.3170891;bhsA;NZ_CP033020.1;2735902;2736159;-;258;protein_coding;multiple stress resistance protein BhsA&&sp|P0AB42|BHSA_ECO57 Multiple stress resistance protein BhsA OS=Escherichia coli O157:H7 OX=83334 GN=bhsA PE=3 SV=1 && PF07338:Protein of unknown function (DUF1471);-
sRNA00130;1951.112209;1972.366553;2028.083681;1787.809278;3390.17876;3034.645187;2542.087809;2744.983769;2531.819404;2686.755823;2055.447348;2749.089229;2910.56956;2674.982281;2556.408682;2166.31112;1673.480359;1094.675028;1776.142714;2108.628629;2033.365046;-;NZ_CP033020.1;4667391;4667452;+;62;-;-;-
D9Q99_RS22315;715.0942702;397.5774699;602.1436372;1060.709811;394.7326028;359.6065701;414.4122344;353.965703;464.218221;349.8928406;580.2425738;369.5383545;389.287386;344.1723685;366.9995797;2921.074628;4012.676276;22056.31217;9854.3816;894.2045911;586.5081113;trxA;NZ_CP033020.1;4659965;4660294;-;330;protein_coding;thioredoxin TrxA&&sp|P0AA27|THIO_ECO57 Thioredoxin 1 OS=Escherichia coli O157:H7 OX=83334 GN=trxA PE=1 SV=2 && PF00085:Thioredoxin;-
D9Q99_RS03285;222.0200041;163.1290764;216.8758118;1155.341764;251.8243421;185.6189435;263.3095696;187.5801802;277.4958976;166.5797813;352.6195927;177.2236077;186.8938657;156.9834956;200.5026417;1437.822719;1976.785002;28441.55612;8326.934229;789.7166018;433.1166371;nfeF;NZ_CP033020.1;679370;680134;+;765;protein_coding;NADPH-dependent ferric chelate reductase NfeF&&sp|Q46871|YQJH_ECOLI NADPH-dependent ferric-chelate reductase OS=Escherichia coli (strain K12) OX=83333 GN=yqjH PE=1 SV=1 && PF04954:Siderophore-interacting protein|PF08021:Siderophore-interacting FAD-binding domain;-
D9Q99_RS06340;740.7493461;372.8047306;667.5849712;304.6316087;276.8694651;255.6243712;274.1195478;239.4320131;295.4837795;236.2957878;295.2196948;232.4447513;261.4053495;219.0473177;247.320654;719.6590297;1782.699492;23667.71808;12471.96064;1073.251078;617.6604591;ypfH;NZ_CP033020.1;1318145;1318843;+;699;protein_coding;esterase&&sp|P76561|YPFH_ECOLI Esterase YpfH OS=Escherichia coli (strain K12) OX=83333 GN=ypfH PE=3 SV=2 && PF02230:Phospholipase/Carboxylesterase;Abhydrolase_2
D9Q99_RS09490;534.065518;264.6611723;517.8078513;767.2708154;239.3165732;186.4870593;331.6917707;184.7697863;345.6277823;212.4929931;528.0751499;250.4380069;335.855784;174.9418482;299.9867331;2707.232914;5399.241516;19089.82561;9311.995392;794.8458236;449.4204926;htpX;NZ_CP033020.1;2002513;2003394;+;882;protein_coding;protease HtpX&&sp|A7ZMV2|HTPX_ECO24 Protease HtpX OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=htpX PE=3 SV=1 && PF01435:Peptidase family M48;Peptidase_M48
Novel00221;189.5003421;197.4746096;199.4370161;29134.77296;256.1507666;254.75629;231.5137458;227.7808046;241.9076077;236.6339507;1808.557924;226.4030309;224.4407055;232.2051062;238.4432808;194.0340172;1159.884432;4037.857826;1386.114269;199.4762044;205.1184819;-;NZ_CP033020.1;3585048;3586684;-;1637;-;PF13377:Periplasmic binding protein-like domain|PF02837:Glycosyl hydrolases family 2, sugar binding domain;-
D9Q99_RS02135;368.4302282;252.41656;389.3109727;900.0504981;291.5195949;223.9984073;309.5973536;228.5471302;327.0503266;214.5986357;483.0645403;242.5006364;290.1294729;194.5487301;328.6674075;1280.000643;2326.131417;22354.05746;8846.04412;701.952563;416.3519255;secY;NZ_CP033020.1;450786;452117;+;1332;protein_coding;preprotein translocase subunit SecY&&sp|P0AGA4|SECY_ECO57 Protein translocase subunit SecY OS=Escherichia coli O157:H7 OX=83334 GN=secY PE=3 SV=1 && PF00344:SecY translocase;-
D9Q99_RS02030;203.6514426;173.205602;215.0335115;621.7221366;282.8813708;216.7254148;265.8983727;213.3602201;285.8930772;225.6579061;238.437778;239.9606402;301.7857982;218.3221573;266.8046721;1320.198263;1331.033713;25554.08095;6608.551245;752.9800229;424.1399291;rpsJ;NZ_CP033020.1;441613;441924;+;312;protein_coding;30S ribosomal protein S10&&sp|A7ZSL0|RS10_ECO24 30S ribosomal protein S10 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rpsJ PE=3 SV=1 && PF00338:Ribosomal protein S10p/S20e;Ribosomal_S10
D9Q99_RS02065;277.8449704;179.5544901;267.6885681;438.3738373;175.4596633;129.3128308;274.454908;165.9468378;289.4337031;135.1941588;242.3541473;146.7371606;169.6502293;111.7978197;195.7364197;1036.550603;2198.528862;23220.35255;9242.098735;686.1184774;375.5742884;rpsC;NZ_CP033020.1;445000;445701;+;702;protein_coding;30S ribosomal protein S3&&sp|A8AQL0|RS3_CITK8 30S ribosomal protein S3 OS=Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=290338 GN=rpsC PE=3 SV=1 && PF00189:Ribosomal protein S3, C-terminal domain|PF07650:KH domain;-
D9Q99_RS15595;644.896235;561.1519907;671.9573923;1444.384434;273.1177568;310.3256664;435.8147399;314.0018333;394.3819319;295.9061934;472.9291379;283.8716204;316.872631;303.3123456;332.6727482;1478.04079;1774.374248;20935.17753;6750.140142;944.0308392;624.6432942;ybfA;NZ_CP033020.1;3222311;3222517;-;207;protein_coding;YbfA family protein&&sp|P0AAU3|YBFA_ECO57 Uncharacterized protein YbfA OS=Escherichia coli O157:H7 OX=83334 GN=ybfA PE=3 SV=1 && PF10725:Protein of unknown function (DUF2517);-
D9Q99_RS10070;728.8133811;401.9332823;702.1789655;2027.899396;360.9814595;216.988838;380.701157;228.1284038;431.1766603;230.535109;515.0515654;244.1384746;253.2835056;171.8048012;315.4316422;1688.051534;2210.781585;18412.45467;8748.898774;771.5316794;508.9893804;infC;NZ_CP033020.1;2115226;2115768;+;543;protein_coding;translation initiation factor IF-3&&sp|B7USA1|IF3_ECO27 Translation initiation factor IF-3 OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=infC PE=3 SV=1 && PF00707:Translation initiation factor IF-3, C-terminal domain|PF05198:Translation initiation factor IF-3, N-terminal domain;-
D9Q99_RS15690;448.6482285;247.7104956;448.8375282;1001.682615;290.2238888;187.9547524;199.7919045;169.2940533;199.5495304;203.4979968;396.5289129;207.8767981;195.7656029;135.4909729;189.0855974;4086.708437;1912.634555;22048.77642;5708.313136;760.4271478;371.5238922;fur;NZ_CP033020.1;3241009;3241455;+;447;protein_coding;ferric iron uptake transcriptional regulator&&sp|P0A9B1|FUR_ECO57 Ferric uptake regulation protein OS=Escherichia coli O157:H7 OX=83334 GN=fur PE=3 SV=1 && PF01475:Ferric uptake regulator family;FUR
D9Q99_RS01120;1101.89977;1200.450019;1056.873078;1493.201608;1099.228643;1120.934806;1064.977297;1069.10148;1153.574399;1139.894794;1047.349047;1333.762991;1295.443738;1249.86045;1226.847917;1842.261475;1883.661523;11344.39767;3990.385794;1317.647528;1164.095282;dinQ;NZ_CP033020.1;245621;245704;+;84;protein_coding;damage-inducible type I toxin DinQ&&-- && -;-
D9Q99_RS22555;257.1099463;189.6843677;253.3443045;559.0824627;183.1344457;163.8134528;204.0007187;178.6819956;229.7146708;163.2731661;273.6456089;176.5708352;172.0061408;160.7718942;195.9152487;513.9462607;1201.837811;23407.23747;7799.076787;580.8883065;311.7081582;atpC;NZ_CP033020.1;4710086;4710505;+;420;protein_coding;F0F1 ATP synthase subunit epsilon&&sp|A7ZTU3|ATPE_ECO24 ATP synthase epsilon chain OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=atpC PE=3 SV=1 && PF00401:ATP synthase, Delta/Epsilon chain, long alpha-helix domain|PF02823:ATP synthase, Delta/Epsilon chain, beta-sandwich domain;-
sRNA00090;1579.259301;1768.5771;1552.086612;1733.660139;1892.649353;1929.674024;1981.558344;1916.596096;2031.745334;1870.388972;1436.18174;1976.969985;2030.343268;1958.559298;2074.067421;1999.007824;1277.370716;588.366894;1175.570128;1939.974236;1780.178143;-;NZ_CP033020.1;3404308;3404360;+;53;-;-;-
D9Q99_RS02785;116.5338811;58.80657553;122.6588891;691.4256543;148.345465;81.39243356;108.5765142;63.38185154;128.1008436;83.96479954;253.9650304;107.5064008;116.9897648;58.13486624;97.04884811;2589.207742;1927.167586;22976.56041;5906.742058;541.725544;234.2087018;rpsO;NZ_CP033020.1;576628;576897;+;270;protein_coding;30S ribosomal protein S15&&sp|A7ZS62|RS15_ECO24 30S ribosomal protein S15 OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=rpsO PE=3 SV=1 && PF00312:Ribosomal protein S15;-
D9Q99_RS03430;309.2138877;271.7426015;315.4319078;260.9200165;197.0090885;189.7242118;238.4514007;194.6907392;256.7203142;222.8423579;265.7466867;222.4581431;222.0807856;209.4394848;217.9201591;1158.229822;1449.249344;20500.07216;7563.090881;789.0812109;447.0058803;ribB;NZ_CP033020.1;710056;710709;+;654;protein_coding;3%2C4-dihydroxy-2-butanone-4-phosphate synthase&&sp|A7ZRS4|RIBB_ECO24 3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111 GN=ribB PE=3 SV=1 && PF00926:3,4-dihydroxy-2-butanone 4-phosphate synthase;DHBP_synthase
D9Q99_RS12640;283.492065;225.8003678;268.6985048;464.0605422;247.0435338;253.5687353;311.3815684;256.9105909;323.5524621;252.8189122;526.0081891;333.8717354;328.6043523;284.940618;420.0160098;929.0306583;1642.799886;19135.29603;7091.115231;627.0155444;391.8217027;D9Q99_RS12640;NZ_CP033020.1;2637886;2638017;+;132;protein_coding;RtT sRNA&&-- && -;-
D9Q99_RS13720;174.9681409;180.4738493;201.6264701;739.5089525;213.837131;142.8556255;117.0583154;126.0429894;163.0387655;133.5386279;129.5808819;134.6138204;141.2013402;138.3464595;140.2724247;664.839512;650.3003255;23880.61144;4045.292673;1457.379544;886.8587616;cspG;NZ_CP033020.1;2853592;2853804;-;213;protein_coding;cold shock protein CspG&&sp|P0A980|CSPG_ECO57 Cold shock-like protein CspG OS=Escherichia coli O157:H7 OX=83334 GN=cspG PE=3 SV=1 && PF00313:'Cold-shock' DNA-binding domain;CSD
D9Q99_RS14895;310.805254;174.9081745;322.9802705;1161.693085;236.6459735;150.372157;219.0533126;147.8729564;210.0438934;173.8300577;258.6732457;212.6651009;222.6020894;174.7681011;191.0494376;1073.507345;1289.90958;20810.29289;5995.206322;665.9810466;378.2246923;ompX;NZ_CP033020.1;3090785;3091300;-;516;protein_coding;outer membrane protein OmpX&&sp|P0A919|OMPX_ECO57 Outer membrane protein X OS=Escherichia coli O157:H7 OX=83334 GN=ompX PE=3 SV=1 && PF13505:Outer membrane protein beta-barrel domain;-
